,Name,Year,Fuel,KMS,Engine,Owners,Transmission,Mileage,Seats,Price,Company
0,Jeep Compass,2019,Diesel,70007,1956,1,Automatic,16.3,5,2405000,Jeep
1,Hyundai i20,2021,Petrol,16670,1197,1,Manual,21.0,5,897000,Hyundai
2,Hyundai Grand,2015,Petrol,62393,1197,2,Automatic,18.9,5,468000,Hyundai
3,Hyundai i10,2014,Petrol,42328,1086,1,Manual,19.81,5,342000,Hyundai
4,Tata Nano,2017,Petrol,12039,624,1,Manual,25.4,4,193000,Tata
5,Hyundai i10,2015,Petrol,48842,1086,1,Manual,19.81,5,339000,Hyundai
6,Maruti Baleno,2016,Diesel,67604,1248,1,Manual,27.39,5,659000,Maruti
7,Maruti Ciaz,2016,Diesel,32272,1248,1,Manual,28.09,5,732000,Maruti
8,Maruti Baleno,2018,Petrol,35152,1197,1,Automatic,21.4,5,761000,Maruti
9,Datsun RediGO,2019,Petrol,20114,999,1,Manual,22.5,5,348000,Datsun
10,Hyundai i20,2017,Petrol,16117,1197,1,Manual,17.19,5,640000,Hyundai
11,Maruti Baleno,2021,Petrol,7533,1197,2,Manual,21.4,5,687000,Maruti
12,Maruti Baleno,2016,Petrol,37273,1197,1,Automatic,19.56,5,665000,Maruti
13,Maruti SX4,2016,Diesel,56846,1248,1,Manual,25.1,5,745000,Maruti
14,Maruti Swift,2014,Petrol,83524,1197,1,Manual,18.6,5,447000,Maruti
15,Maruti Celerio,2015,Petrol,68279,998,2,Automatic,23.1,5,360000,Maruti
16,Hyundai Grand,2017,Petrol,44550,1197,1,Manual,18.9,5,550000,Hyundai
17,Volkswagen Polo,2018,Diesel,40468,1498,1,Manual,20.14,5,700000,Volkswagen
18,Honda Amaze,2013,Petrol,43575,1198,1,Manual,18.0,5,475000,Honda
19,Maruti Swift,2013,Petrol,36800,1197,1,Manual,18.6,5,425000,Maruti
20,Maruti S-Presso,2019,Petrol,1670,998,1,Manual,21.7,5,449000,Maruti
21,Maruti Celerio,2017,Petrol,30133,998,1,Automatic,23.1,5,442000,Maruti
22,Maruti Vitara,2018,Diesel,45444,1248,1,Automatic,24.3,5,985000,Maruti
23,Hyundai i10,2014,Petrol,42328,1086,1,Manual,19.81,5,342000,Hyundai
24,Maruti Baleno,2016,Diesel,67604,1248,1,Manual,27.39,5,659000,Maruti
25,Maruti Alto,2015,Petrol,11427,796,1,Manual,22.74,5,296000,Maruti
26,Renault KWID,2020,Petrol,13581,999,1,Manual,21.74,5,453000,Renault
27,Renault KWID,2020,Petrol,5805,999,1,Automatic,22.0,5,500000,Renault
28,Maruti Alto,2016,Petrol,22710,796,1,Manual,22.74,5,291000,Maruti
29,Maruti Swift,2018,Petrol,44345,1197,1,Manual,21.21,5,723000,Maruti
30,Toyota Yaris,2018,Petrol,55073,1496,1,Automatic,17.8,5,855000,Toyota
31,Maruti Ciaz,2016,Diesel,32272,1248,1,Manual,28.09,5,732000,Maruti
32,Maruti Swift,2014,Petrol,83524,1197,1,Manual,18.6,5,447000,Maruti
33,Maruti Alto,2016,Petrol,24692,998,1,Manual,23.95,5,326000,Maruti
34,Maruti Baleno,2016,Petrol,23825,1197,1,Automatic,21.4,5,694000,Maruti
35,Maruti Baleno,2018,Petrol,35152,1197,1,Automatic,21.4,5,761000,Maruti
36,Skoda Rapid,2021,Petrol,3492,999,1,Manual,18.97,5,1045000,Skoda
37,Hyundai Creta,2017,Petrol,84037,1591,1,Manual,13.0,5,970000,Hyundai
38,Tata Tigor,2021,Petrol,11484,1199,1,Manual,20.3,5,755000,Tata
