,Name,Year,Fuel,KMS,Engine,Owners,Transmission,Mileage,Seats,Price,Company
0,Jeep Compass,2019,2,70007,1956,1,2,16.3,5,2405000,Jeep
1,Hyundai i20,2021,1,16670,1197,1,1,21.0,5,897000,Hyundai
2,Hyundai Grand,2015,1,62393,1197,2,2,18.9,5,468000,Hyundai
3,Hyundai i10,2014,1,42328,1086,1,1,19.81,5,342000,Hyundai
4,Tata Nano,2017,1,12039,624,1,1,25.4,4,193000,Tata
5,Hyundai i10,2015,1,48842,1086,1,1,19.81,5,339000,Hyundai
6,Maruti Baleno,2016,2,67604,1248,1,1,27.39,5,659000,Maruti
7,Maruti Ciaz,2016,2,32272,1248,1,1,28.09,5,732000,Maruti
8,Maruti Baleno,2018,1,35152,1197,1,2,21.4,5,761000,Maruti
9,Datsun RediGO,2019,1,20114,999,1,1,22.5,5,348000,Datsun
10,Hyundai i20,2017,1,16117,1197,1,1,17.19,5,640000,Hyundai
11,Maruti Baleno,2021,1,7533,1197,2,1,21.4,5,687000,Maruti
12,Maruti Baleno,2016,1,37273,1197,1,2,19.56,5,665000,Maruti
13,Maruti SX4,2016,2,56846,1248,1,1,25.1,5,745000,Maruti
14,Maruti Swift,2014,1,83524,1197,1,1,18.6,5,447000,Maruti
15,Maruti Celerio,2015,1,68279,998,2,2,23.1,5,360000,Maruti
16,Hyundai Grand,2017,1,44550,1197,1,1,18.9,5,550000,Hyundai
17,Volkswagen Polo,2018,2,40468,1498,1,1,20.14,5,700000,Volkswagen
18,Honda Amaze,2013,1,43575,1198,1,1,18.0,5,475000,Honda
19,Maruti Swift,2013,1,36800,1197,1,1,18.6,5,425000,Maruti
20,Maruti S-Presso,2019,1,1670,998,1,1,21.7,5,449000,Maruti
21,Maruti Celerio,2017,1,30133,998,1,2,23.1,5,442000,Maruti
22,Maruti Vitara,2018,2,45444,1248,1,2,24.3,5,985000,Maruti
23,Hyundai i10,2014,1,42328,1086,1,1,19.81,5,342000,Hyundai
24,Maruti Baleno,2016,2,67604,1248,1,1,27.39,5,659000,Maruti
25,Maruti Alto,2015,1,11427,796,1,1,22.74,5,296000,Maruti
26,Renault KWID,2020,1,13581,999,1,1,21.74,5,453000,Renault
27,Renault KWID,2020,1,5805,999,1,2,22.0,5,500000,Renault
28,Maruti Alto,2016,1,22710,796,1,1,22.74,5,291000,Maruti
29,Maruti Swift,2018,1,44345,1197,1,1,21.21,5,723000,Maruti
30,Toyota Yaris,2018,1,55073,1496,1,2,17.8,5,855000,Toyota
31,Maruti Ciaz,2016,2,32272,1248,1,1,28.09,5,732000,Maruti
32,Maruti Swift,2014,1,83524,1197,1,1,18.6,5,447000,Maruti
33,Maruti Alto,2016,1,24692,998,1,1,23.95,5,326000,Maruti
34,Maruti Baleno,2016,1,23825,1197,1,2,21.4,5,694000,Maruti
35,Maruti Baleno,2018,1,35152,1197,1,2,21.4,5,761000,Maruti
36,Skoda Rapid,2021,1,3492,999,1,1,18.97,5,1045000,Skoda
37,Hyundai Creta,2017,1,84037,1591,1,1,13.0,5,970000,Hyundai
38,Tata Tigor,2021,1,11484,1199,1,1,20.3,5,755000,Tata
39,Maruti Alto,2018,1,17058,998,1,1,23.95,5,375000,Maruti
40,Maruti SX4,2016,2,56846,1248,1,1,25.1,5,745000,Maruti
41,Maruti SX4,2016,2,70068,1248,1,1,23.65,5,731000,Maruti
42,Maruti Celerio,2014,1,16775,998,2,2,23.1,5,370000,Maruti
43,Hyundai i20,2021,1,16670,1197,1,1,21.0,5,897000,Hyundai
44,Renault KWID,2017,1,18882,999,1,2,24.04,5,401000,Renault
45,Maruti Wagon,2017,1,50353,998,1,1,20.51,5,393000,Maruti
46,Hyundai Grand,2019,1,3926,1197,1,1,18.9,5,532000,Hyundai
47,Tata Nano,2017,1,12039,624,1,1,25.4,4,193000,Tata
48,Maruti Celerio,2015,1,56445,998,1,2,23.1,5,418000,Maruti
49,Maruti Baleno,2018,1,6019,1197,1,1,21.01,5,576000,Maruti
50,Maruti Baleno,2018,1,24244,1197,2,2,21.4,5,720000,Maruti
51,Maruti Vitara,2019,2,25493,1248,1,2,24.3,5,879000,Maruti
52,Maruti Baleno,2021,1,7533,1197,2,1,21.4,5,687000,Maruti
53,Maruti Swift,2017,1,36461,1197,1,1,21.21,5,595000,Maruti
54,Maruti Wagon,2013,1,98226,998,1,1,20.51,5,350000,Maruti
55,Honda City,2016,1,20203,1497,1,1,17.8,5,790000,Honda
56,Datsun RediGO,2019,1,20114,999,1,1,22.5,5,348000,Datsun
57,Hyundai i10,2015,1,48842,1086,1,1,19.81,5,339000,Hyundai
58,Hyundai Grand,2017,1,67498,1197,1,1,17.0,5,419000,Hyundai
59,Maruti Baleno,2016,1,25979,1197,1,1,21.4,5,555000,Maruti
60,Hyundai i10,2013,1,46207,1086,1,1,19.81,5,275000,Hyundai
61,Honda Amaze,2013,2,61079,1498,1,1,25.8,5,380000,Honda
62,Maruti Baleno,2016,1,78758,1197,1,1,21.4,5,482000,Maruti
63,Honda Amaze,2015,2,72933,1498,1,1,24.7,5,495000,Honda
65,Maruti Swift,2016,2,101184,1248,2,1,28.4,5,560000,Maruti
66,Maruti S-presso,2020,1,17190,998,1,2,21.7,5,550000,Maruti
67,BMW X1,2018,2,46000,1995,2,2,20.68,5,2490000,BMW
68,Hyundai Verna,2018,2,70000,1582,1,1,22.0,5,950000,Hyundai
69,Volkswagen Crosspolo,2018,1,10000,1198,1,1,16.47,5,650000,Volkswagen
70,Hyundai I20,2015,1,60000,1197,1,1,18.6,5,500000,Hyundai
71,Skoda Rapid,2012,2,70000,1598,2,1,20.5,5,375000,Skoda
72,Volkswagen Vento,2011,1,63000,1598,2,1,15.04,5,300000,Volkswagen
